--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,,,,Per 36 MP,,,,,,,,,,,,,,,,,,,,,,,,,-additional
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
84,Jamal Crawford,60.7,CLE,1,8,2000,Michigan,2000-01,2019-20,20-39,1327,433,0,6.2,15.2,4.2,9.3,2.1,5.9,3.4,4.0,0.4,2.3,2.7,4.2,1.1,0.3,2.3,1.9,17.9,.410,.449,.348,.862,.529,.477,G,ATLBRKCHIGSWLACMINNYKPHOPOR,crawfja01
85,Taj Gibson,60.5,CHI,1,26,2009,Southern California,2009-10,2025-26,24-40,1012,462,0,5.4,10.5,5.3,10.2,0.1,0.3,2.2,3.0,3.3,5.6,8.9,1.5,0.8,1.5,1.6,3.8,13.1,.517,.525,.272,.713,.554,.521,F-C,CHICHODETMEMMINNYKOKCWAS,gibsota01
86,Derrick Favors,60.2,NJN,1,3,2010,Georgia Tech,2010-11,2021-22,19-30,790,503,0,6.4,12.0,6.3,11.7,0.1,0.4,2.8,4.2,3.6,6.9,10.5,1.6,1.1,1.8,1.9,3.7,15.7,.534,.544,.198,.663,.566,.537,F-C,NJNNOPOKCUTA,favorde01
87,Donovan Mitchell,60.2,DEN,1,13,2017,Louisville,2017-18,2025-26,21-29,609,601,7,9.4,20.8,6.2,12.0,3.2,8.8,4.6,5.5,0.8,3.8,4.6,5.1,1.5,0.3,2.9,2.6,26.7,.453,.517,.366,.844,.575,.530,G,CLEUTA,mitchdo01
88,Kemba Walker,59.8,CHA,1,9,2011,Connecticut,2011-12,2022-23,21-32,750,697,4,7.3,17.3,4.8,10.6,2.4,6.7,4.1,4.9,0.6,3.5,4.1,5.7,1.3,0.4,2.3,1.6,21.0,.418,.455,.360,.840,.539,.488,G,BOSCHACHODALNYK,walkeke02
89,Gerald Wallace,59.7,SAC,1,25,2001,Alabama,2001-02,2014-15,19-32,832,611,1,5.1,10.9,4.5,9.0,0.6,1.9,3.6,5.1,1.7,5.4,7.0,2.5,1.7,1.0,2.2,2.7,14.5,.469,.502,.312,.709,.549,.496,F,BOSBRKCHANJNPORSAC,wallage01
90,Jason Richardson,59.1,GSW,1,5,2001,Michigan State,2001-02,2014-15,21-34,857,842,0,6.8,15.6,4.9,10.3,2.0,5.3,2.4,3.3,1.3,4.0,5.2,2.8,1.2,0.5,1.9,2.4,18.0,.438,.474,.370,.707,.528,.502,G,CHAGSWORLPHIPHO,richaja01
91,Mike Dunleavy,58.5,GSW,1,3,2002,Duke,2002-03,2016-17,22-36,986,585,0,5.2,11.8,3.5,7.2,1.7,4.6,2.5,3.1,0.9,4.6,5.5,2.9,0.9,0.4,1.8,2.6,14.5,.441,.481,.377,.803,.555,.514,F-G,ATLCHICLEGSWINDMIL,dunlemi02
92,Bradley Beal,58.4,WAS,1,3,2012,Florida,2012-13,2025-26,19-32,807,758,3,8.3,17.8,6.0,11.9,2.2,6.0,3.7,4.5,0.9,3.3,4.2,4.5,1.2,0.4,2.5,2.4,22.5,.464,.509,.376,.821,.568,.527,G,LACPHOWAS,bealbr01
93,Mason Plumlee,58.4,NJN,1,22,2013,Duke,2013-14,2025-26,23-35,880,481,0,5.2,8.7,5.2,8.6,0.0,0.1,2.8,4.9,3.4,7.7,11.0,3.9,1.2,1.3,2.3,4.4,13.2,.596,.602,.039,.577,.608,.596,C-F,BRKCHODENDETLACPHOPORSAS,plumlma01
94,Khris Middleton,58.2,DET,2,39,2012,Texas A&M,2012-13,2025-26,21-34,839,721,3,7.0,15.3,4.9,9.8,2.1,5.5,3.2,3.6,0.8,4.8,5.6,4.6,1.3,0.2,2.5,3.0,19.3,.458,.499,.385,.878,.572,.527,F-G,DALDETMILWAS,middlkh01
95,Pascal Siakam,58.1,TOR,1,27,2016,New Mexico State,2016-17,2025-26,22-31,691,597,4,8.1,16.3,6.8,12.5,1.3,3.9,3.7,4.9,1.7,5.9,7.6,4.1,1.1,0.7,2.1,3.1,21.3,.497,.545,.342,.754,.575,.537,F-C,INDTOR,siakapa01
96,Devin Booker,58.0,PHO,1,13,2015,Kentucky,2015-16,2025-26,19-29,737,712,5,9.0,19.3,6.8,13.1,2.2,6.3,5.7,6.5,0.7,3.5,4.2,5.6,0.9,0.3,3.2,3.0,25.8,.463,.517,.352,.873,.581,.520,G,PHO,bookede01
97,Klay Thompson,57.6,GSW,1,11,2011,Washington State,2011-12,2025-26,21-35,934,822,5,7.9,17.7,4.4,9.0,3.6,8.7,1.9,2.2,0.5,3.4,3.9,2.6,0.9,0.6,1.8,2.2,21.3,.448,.485,.409,.858,.571,.548,G-F,DALGSW,thompkl01
98,Julius Randle,56.9,LAL,1,7,2014,Kentucky,2014-15,2025-26,20-31,789,709,3,7.8,16.5,6.4,12.4,1.4,4.1,4.6,6.1,2.2,7.8,10.0,4.4,0.8,0.4,3.1,3.4,21.6,.472,.519,.332,.759,.563,.514,F-C,LALMINNOPNYK,randlju01
99,Goran Dragić,56.7,SAS,2,45,2008,,2008-09,2022-23,22-36,946,530,1,6.5,14.1,4.9,9.6,1.6,4.5,3.1,4.1,0.9,3.1,4.0,6.2,1.2,0.2,2.9,3.0,17.7,.459,.505,.362,.766,.556,.517,G,BRKCHIHOUMIAMILPHOTOR,dragigo01
100,Jeff Green,56.1,BOS,1,5,2007,Georgetown,2007-08,2025-26,21-39,1247,660,0,5.6,12.5,4.3,8.6,1.3,3.9,3.0,3.8,1.1,4.2,5.3,1.9,0.8,0.6,1.7,2.7,15.6,.450,.500,.337,.804,.550,.502,F,BOSBRKCLEDENHOULACMEMOKCORLSEAUTAWAS,greenje02
101,Michael Redd,55.9,MIL,2,43,2000,Ohio State,2000-01,2011-12,21-32,629,429,1,7.5,16.8,5.7,11.9,1.9,4.9,4.5,5.4,1.1,3.2,4.3,2.4,1.0,0.1,1.7,1.8,21.4,.447,.475,.380,.838,.558,.503,G,MILPHO,reddmi01
102,Ivica Zubac,55.5,LAL,2,32,2016,,2016-17,2025-26,19-28,632,498,0,6.6,10.8,6.6,10.8,0.0,0.0,2.8,3.8,4.1,8.6,12.7,2.2,0.6,1.5,1.9,3.6,16.0,.614,.616,.083,.725,.642,.614,C,INDLACLAL,zubaciv01
103,Amir Johnson,55.3,DET,2,56,2005,,2005-06,2018-19,18-31,870,485,0,5.0,8.8,4.8,8.2,0.2,0.6,1.7,2.6,3.4,5.8,9.2,2.1,1.0,1.6,1.8,5.1,12.0,.570,.588,.332,.673,.602,.582,F-C,BOSDETPHITOR,johnsam01
104,CJ McCollum,54.9,POR,1,10,2013,Lehigh,2013-14,2025-26,22-34,863,750,0,8.4,18.5,5.5,11.2,2.9,7.2,2.4,3.1,0.7,3.3,4.1,4.3,1.0,0.5,2.0,2.4,22.0,.453,.490,.395,.796,.556,.530,G,ATLNOPPORWAS,mccolcj01
105,Devin Harris,54.9,WAS,1,5,2004,Wisconsin,2004-05,2018-19,21-35,985,448,1,5.2,12.1,4.0,8.3,1.2,3.8,4.2,5.3,0.4,2.8,3.2,5.8,1.5,0.3,2.5,3.3,15.9,.432,.481,.325,.796,.551,.483,G,ATLDALDENNJNUTA,harride01
106,Mehmet Okur,54.7,DET,2,38,2001,,2002-03,2011-12,23-32,634,460,1,5.9,12.9,4.8,9.8,1.2,3.1,3.7,4.7,2.5,6.2,8.7,2.1,0.6,0.9,1.9,3.5,16.7,.458,.484,.375,.797,.558,.503,C-F,DETNJNUTA,okurme01
107,Jalen Brunson,54.2,DAL,2,33,2018,Villanova,2018-19,2025-26,22-29,561,411,3,8.4,17.3,6.3,11.9,2.1,5.4,4.1,5.0,0.6,3.3,3.8,6.3,0.9,0.1,2.2,2.3,23.0,.485,.530,.385,.826,.589,.545,G,DALNYK,brunsja01
108,Enes Freedom,52.8,UTA,1,3,2011,,2011-12,2021-22,19-29,748,259,0,7.7,14.0,7.6,13.6,0.1,0.4,3.2,4.2,5.0,8.0,13.0,1.4,0.7,0.8,2.4,3.6,18.7,.548,.555,.289,.777,.590,.551,C,BOSNYKOKCPORUTA,kanteen01
109,Zaza Pachulia,52.7,ORL,2,42,2003,,2003-04,2018-19,19-34,1098,516,0,4.2,9.0,4.2,8.9,0.0,0.1,3.6,4.7,3.8,6.4,10.2,2.3,1.2,0.6,2.3,4.4,12.0,.469,.472,.000,.751,.541,.469,C,ATLDALDETGSWMILORL,pachuza01
110,Kirk Hinrich,52.5,CHI,1,7,2003,Kansas,2003-04,2015-16,23-35,879,665,0,4.7,11.4,3.1,7.2,1.6,4.2,1.9,2.4,0.4,3.0,3.4,5.7,1.3,0.3,2.2,3.3,12.8,.411,.432,.375,.800,.516,.480,G,ATLCHIWAS,hinriki01
111,Jeff Teague,52.4,ATL,1,19,2009,Wake Forest,2009-10,2020-21,21-32,826,600,1,5.8,13.0,4.6,9.8,1.1,3.2,3.7,4.3,0.4,2.8,3.2,7.4,1.5,0.4,2.9,2.5,16.3,.444,.472,.360,.844,.549,.489,G,ATLBOSINDMILMIN,teaguje01
112,Hassan Whiteside,52.0,SAC,2,33,2010,Marshall,2010-11,2021-22,21-32,511,332,0,7.6,13.0,7.6,13.0,0.0,0.1,3.0,5.0,4.6,11.1,15.7,0.9,0.8,3.3,2.2,3.8,18.4,.586,.588,.308,.605,.602,.587,C,MIAPORSACUTA,whiteha01
113,Myles Turner,51.7,IND,1,11,2015,Texas,2015-16,2025-26,19-29,713,680,0,6.4,13.0,4.8,8.6,1.6,4.4,3.1,4.0,1.7,6.6,8.4,1.6,0.9,2.7,1.8,3.7,17.5,.494,.559,.365,.769,.593,.556,C-F,INDMIL,turnemy01
114,Boris Diaw,51.6,ATL,1,21,2003,,2003-04,2016-17,21-34,1064,564,0,4.8,9.6,4.2,7.9,0.6,1.8,1.3,1.8,1.6,4.2,5.8,4.6,0.8,0.6,2.4,2.8,11.4,.493,.529,.336,.717,.547,.524,F-C,ATLCHAPHOSASUTA,diawbo01
115,Gilbert Arenas,51.3,GSW,2,31,2001,Arizona,2001-02,2011-12,20-30,552,455,3,6.9,16.5,4.9,10.7,2.0,5.7,5.4,6.7,0.8,3.2,4.0,5.4,1.6,0.2,3.2,3.1,21.2,.421,.458,.351,.803,.547,.482,G,GSWMEMORLWAS,arenagi01
116,Samuel Dalembert,51.3,PHI,1,26,2001,Seton Hall,2001-02,2014-15,20-33,886,694,0,4.7,9.0,4.7,8.9,0.0,0.0,2.0,2.8,3.8,7.7,11.5,0.8,0.7,2.6,2.1,4.3,11.3,.521,.522,.083,.706,.555,.521,C,DALHOUMILNYKPHISAC,dalemsa01
117,Josh Smith,51.0,ATL,1,17,2004,,2004-05,2017-18,19-32,894,772,0,6.3,14.0,5.8,12.0,0.6,2.0,2.9,4.7,2.1,6.1,8.3,3.5,1.3,2.1,2.7,3.1,16.1,.452,.480,.285,.632,.504,.472,F,ATLDETHOULACNOP,smithjo03
118,Caron Butler,50.9,MIA,1,10,2002,Connecticut,2002-03,2015-16,22-35,881,732,2,5.8,13.5,4.9,10.7,0.9,2.7,3.2,3.7,1.4,4.2,5.6,2.6,1.5,0.3,2.0,2.7,15.8,.434,.456,.348,.847,.523,.469,F,DALDETLACLALMIAMILOKCSACWAS,butleca01
119,Andrew Bogut,50.6,MIL,1,1,2005,Utah,2005-06,2018-19,21-34,706,661,0,5.4,10.1,5.4,10.1,0.0,0.0,1.5,2.7,3.2,7.9,11.1,2.8,0.8,2.0,2.2,4.0,12.3,.535,.537,.120,.557,.545,.535,C,CLEDALGSWLALMIL,bogutan01
120,Dwight Powell,50.5,CHA,2,45,2014,Stanford,2014-15,2025-26,23-34,768,266,0,4.9,8.1,4.5,6.9,0.3,1.1,3.2,4.3,3.2,5.5,8.7,2.1,1.2,0.9,1.4,4.5,13.3,.606,.657,.294,.734,.666,.626,F-C,BOSDAL,poweldw01
121,Kristaps Porziņģis,50.4,NYK,1,4,2015,,2015-16,2025-26,20-30,533,523,1,8.1,17.5,5.8,11.4,2.2,6.1,4.7,5.7,2.0,7.0,9.0,2.2,0.9,2.1,1.9,3.5,23.1,.461,.512,.364,.830,.577,.524,C-F,ATLBOSDALGSWNYKWAS,porzikr01
122,Greg Monroe,50.4,DET,1,7,2010,Georgetown,2010-11,2021-22,20-31,646,417,0,6.9,13.4,6.9,13.3,0.0,0.0,3.4,4.8,3.7,7.1,10.8,2.8,1.4,0.8,2.4,2.9,17.1,.514,.515,.059,.703,.553,.514,C-F,BOSDETMILMINPHIPHOTORUTAWAS,monrogr01
123,Troy Murphy,50.3,GSW,1,14,2001,Notre Dame,2001-02,2012-13,21-32,729,482,0,5.1,11.6,4.0,8.7,1.1,2.9,2.8,3.6,2.5,7.8,10.3,2.0,0.9,0.5,1.6,3.4,14.2,.445,.464,.388,.785,.541,.493,F-C,BOSDALGSWINDLALNJN,murphtr01
124,Aaron Gordon,50.1,ORL,1,4,2014,Arizona,2014-15,2025-26,19-30,756,655,0,6.3,13.1,5.0,9.1,1.3,4.0,2.8,4.0,2.1,5.5,7.6,3.3,0.9,0.7,1.8,2.4,16.9,.485,.551,.335,.698,.567,.536,F,DENORL,gordoaa01
125,Mikal Bridges,50.0,PHI,1,10,2018,Villanova,2018-19,2025-26,22-29,638,571,0,6.0,12.4,4.1,7.2,1.9,5.2,2.0,2.4,1.0,3.3,4.3,3.1,1.3,0.6,1.3,2.0,15.9,.485,.567,.371,.842,.594,.563,F-G,BRKNYKPHO,bridgmi01
126,Darren Collison,49.9,NOH,1,21,2009,UCLA,2009-10,2021-22,22-34,711,518,0,5.7,12.0,4.6,9.2,1.1,2.8,2.9,3.4,0.6,2.7,3.3,6.1,1.4,0.2,2.4,2.1,15.3,.471,.495,.394,.853,.567,.517,G,DALINDLACLALNOHSAC,collida01
127,Robin Lopez,49.6,PHO,1,15,2008,Stanford,2008-09,2023-24,20-35,992,607,0,6.0,11.2,5.9,10.8,0.1,0.3,2.2,3.0,3.7,4.3,8.0,1.4,0.4,1.8,1.8,3.2,14.3,.537,.544,.297,.743,.574,.541,C,CHICLEMILNOHNYKORLPHOPORWAS,lopezro01
128,Tristan Thompson,49.3,CLE,1,4,2011,Texas,2011-12,2024-25,20-33,819,478,0,4.9,9.4,4.8,9.3,0.0,0.1,2.3,3.9,4.4,6.9,11.3,1.4,0.7,0.9,1.5,3.1,12.0,.520,.522,.238,.592,.544,.521,F-C,BOSCHICLEINDSAC,thomptr01
129,Danny Green,49.3,CLE,2,46,2009,North Carolina,2009-10,2023-24,22-36,832,709,0,4.4,10.4,1.7,3.6,2.7,6.8,0.9,1.1,0.9,4.0,4.9,2.2,1.5,1.1,1.4,2.5,12.4,.421,.461,.400,.805,.568,.551,G-F,CLELALMEMPHISASTOR,greenda02
130,Kentavious Caldwell-Pope,49.2,DET,1,8,2013,Georgia,2013-14,2025-26,20-32,963,784,0,4.8,11.3,2.8,5.7,2.0,5.6,1.9,2.3,0.7,2.9,3.6,2.3,1.4,0.3,1.3,2.2,13.6,.427,.488,.365,.826,.551,.517,G,DENDETLALMEMORLWAS,caldwke01
131,Ersan İlyasova,48.8,MIL,2,36,2005,,2006-07,2020-21,19-33,825,424,0,5.9,13.4,4.3,8.8,1.7,4.6,2.3,3.0,2.7,6.2,8.9,1.7,1.1,0.6,1.5,3.8,15.9,.443,.483,.367,.777,.540,.506,F,ATLDETMILOKCORLPHIUTA,ilyaser01
132,Jakob Poeltl,48.5,TOR,1,9,2016,Utah,2016-17,2025-26,21-30,641,385,0,6.4,10.0,6.4,10.0,0.0,0.0,1.7,3.0,4.3,6.9,11.1,2.9,1.0,2.0,1.9,4.0,14.4,.636,.636,.429,.559,.636,.636,C,SASTOR,poeltja01
133,Danny Granger,48.5,IND,1,17,2005,New Mexico,2005-06,2014-15,22-31,586,431,1,6.5,14.9,4.5,9.8,2.0,5.1,4.3,5.0,1.3,4.3,5.6,2.1,1.1,0.9,2.1,3.2,19.2,.434,.463,.380,.848,.560,.500,F,INDLACMIA,grangda01
134,Jameer Nelson,48.3,DEN,1,20,2004,Saint Joseph's,2004-05,2017-18,22-35,878,639,1,5.6,12.8,3.9,8.2,1.7,4.6,1.8,2.2,0.6,3.2,3.8,6.6,1.1,0.1,2.7,3.2,14.6,.436,.474,.368,.810,.532,.502,G,BOSDALDENDETNOPORL,nelsoja01
135,Kenyon Martin,48.0,NJN,1,1,2000,Cincinnati,2000-01,2014-15,23-37,757,667,1,6.0,12.5,5.9,12.1,0.1,0.4,2.3,3.7,2.0,6.0,8.0,2.2,1.4,1.3,2.1,3.9,14.5,.483,.492,.234,.629,.513,.487,F,DENLACMILNJNNYK,martike01
136,D.J. Augustin,47.7,CHA,1,9,2008,Texas,2008-09,2021-22,21-34,976,334,0,4.7,11.5,2.7,6.2,2.0,5.2,3.2,3.7,0.5,2.4,2.8,5.9,0.9,0.1,2.2,2.1,14.6,.412,.437,.381,.867,.558,.499,G,CHACHIDENDETHOUINDLALMILOKCORLTOR,augusdj01
137,Jamal Murray,47.6,DEN,1,7,2016,Kentucky,2016-17,2025-26,19-28,611,537,1,7.8,17.0,5.2,10.4,2.6,6.6,3.2,3.6,0.8,3.5,4.3,5.6,1.1,0.4,2.3,2.1,21.3,.459,.504,.390,.874,.575,.535,G,DEN,murraja01
138,Jaylen Brown,47.5,BOS,1,3,2016,California,2016-17,2025-26,20-29,674,567,5,8.7,18.1,6.5,12.0,2.2,6.2,3.7,4.9,1.2,5.2,6.4,3.4,1.2,0.4,2.6,2.9,23.2,.478,.540,.358,.739,.571,.539,F-G,BOS,brownja02
139,Kelly Olynyk,47.1,DAL,1,13,2013,Gonzaga,2013-14,2025-26,22-34,842,283,0,5.8,11.9,4.0,7.0,1.8,5.0,2.8,3.5,2.0,6.3,8.2,4.0,1.3,0.7,2.6,4.5,16.2,.486,.569,.369,.794,.601,.562,C-F,BOSDETHOUMIANOPSASTORUTA,olynyke01
140,DeMarcus Cousins,46.8,SAC,1,5,2010,Kentucky,2010-11,2021-22,20-31,654,561,4,8.4,18.3,7.6,15.9,0.8,2.4,6.0,8.1,3.1,9.2,12.3,3.7,1.6,1.4,4.0,4.5,23.6,.460,.479,.331,.737,.539,.481,C-F,DENGSWHOULACMILNOPSAC,couside01
141,Derrick White,46.7,SAS,1,29,2017,Colorado,2017-18,2025-26,23-31,571,455,0,5.7,13.0,3.2,6.1,2.5,6.9,2.6,3.0,0.8,3.8,4.6,5.3,1.1,1.2,1.8,2.5,16.5,.438,.526,.360,.859,.575,.534,G,BOSSAS,whitede01
142,Ryan Anderson,46.7,NJN,1,21,2008,California,2008-09,2019-20,20-31,649,289,0,5.9,14.0,3.1,6.5,2.8,7.5,2.5,2.9,2.7,4.7,7.3,1.3,0.7,0.5,1.3,2.7,17.2,.422,.470,.380,.854,.561,.523,F,HOUMIANJNNOHNOPORLPHO,anderry01
143,Anderson Varejão,46.4,ORL,2,30,2004,,2004-05,2020-21,22-38,632,209,0,4.3,8.5,4.3,8.4,0.0,0.1,2.3,3.6,3.6,7.2,10.8,1.8,1.3,1.0,1.4,3.9,10.9,.509,.515,.023,.630,.542,.509,F-C,CLEGSW,varejan01
144,J.R. Smith,46.3,NOH,1,18,2004,,2004-05,2019-20,19-34,977,395,0,6.0,14.3,3.4,7.2,2.6,7.1,2.0,2.7,0.7,3.5,4.2,2.8,1.3,0.3,1.8,3.0,16.6,.419,.463,.373,.733,.536,.511,G-F,CLEDENLALNOHNOKNYK,smithjr01
145,Eric Bledsoe,46.1,OKC,1,18,2010,Kentucky,2010-11,2021-22,21-32,756,568,0,6.3,14.0,4.9,9.6,1.5,4.4,3.6,4.6,1.0,4.1,5.0,6.1,1.8,0.6,3.2,2.6,17.7,.452,.504,.336,.784,.553,.504,G,LACMILNOPPHO,bledser01
146,Luis Scola,45.7,SAS,2,56,2002,,2007-08,2016-17,27-36,743,505,0,7.0,14.1,6.8,13.6,0.2,0.5,2.8,3.7,2.5,6.8,9.4,2.3,0.9,0.4,2.1,3.9,16.8,.493,.499,.339,.740,.535,.499,F,BRKHOUINDPHOTOR,scolalu01
147,Isaiah Thomas,45.3,SAC,2,60,2011,Washington,2011-12,2023-24,22-34,556,362,2,7.3,16.9,4.9,10.2,2.4,6.7,5.4,6.2,0.7,2.4,3.1,6.1,1.1,0.1,2.9,2.6,22.5,.434,.481,.363,.872,.573,.506,G,BOSCHOCLEDALDENLALNOPPHOSACWAS,thomais02
148,Emeka Okafor,45.3,CHA,1,2,2004,Connecticut,2004-05,2017-18,22-35,616,603,0,5.7,11.1,5.7,11.1,0.0,0.0,2.6,4.4,3.7,7.6,11.3,1.0,0.8,1.9,1.9,3.2,13.9,.512,.512,.000,.586,.535,.512,C-F,CHANOHNOPWAS,okafoem01
149,Trae Young,44.7,DAL,1,5,2018,Oklahoma,2018-19,2025-26,20-27,498,498,4,8.4,19.3,5.6,11.4,2.8,7.8,7.0,8.0,0.6,3.0,3.6,10.3,1.1,0.2,4.4,1.9,26.4,.433,.489,.352,.872,.580,.505,G,ATLWAS,youngtr01
150,Derrick Rose,44.6,CHI,1,1,2008,Memphis,2008-09,2023-24,20-35,723,518,3,8.0,17.6,7.1,14.6,1.0,3.0,3.5,4.2,0.9,2.9,3.8,6.2,0.9,0.4,2.9,1.4,20.5,.456,.485,.316,.831,.527,.483,G,CHICLEDETMEMMINNYK,rosede01
151,Nick Collison,44.5,OKC,1,12,2003,Kansas,2004-05,2017-18,24-37,910,177,0,4.3,8.0,4.2,7.8,0.0,0.2,1.8,2.4,3.4,5.7,9.1,1.8,0.9,0.9,1.7,4.9,10.4,.534,.542,.208,.723,.570,.536,F,OKCSEA,collini01
152,John Wall,44.5,WAS,1,1,2010,Kentucky,2010-11,2022-23,20-32,647,604,5,7.0,16.2,5.9,13.0,1.0,3.2,4.3,5.5,0.6,3.7,4.3,9.1,1.7,0.7,3.8,2.2,19.3,.430,.457,.322,.776,.517,.462,G,HOULACWAS,walljo01
153,Drew Gooden,43.9,MEM,1,4,2002,Kansas,2002-03,2015-16,21-34,790,500,0,6.1,13.3,6.0,12.7,0.2,0.6,3.0,4.0,3.4,6.7,10.0,1.6,1.0,0.8,2.1,3.5,15.5,.462,.471,.257,.760,.514,.468,F,CHICLEDALLACMEMMILORLSACSASWAS,goodedr01
154,Deandre Ayton,43.8,PHO,1,1,2018,Arizona,2018-19,2025-26,20-27,470,463,0,8.4,14.0,8.3,13.7,0.1,0.3,2.0,2.7,3.6,8.4,12.0,1.8,0.8,1.1,2.0,3.1,18.8,.599,.607,.230,.741,.620,.601,C,LALPHOPOR,aytonde01
155,Brendan Haywood,43.8,CLE,1,20,2001,North Carolina,2001-02,2014-15,22-35,816,549,0,4.1,7.7,4.1,7.7,0.0,0.0,2.5,4.3,4.0,5.4,9.4,0.9,0.6,2.1,1.6,3.9,10.7,.528,.528,.000,.587,.555,.528,C,CHACLEDALWAS,haywobr01
156,John Collins,43.8,ATL,1,19,2017,Wake Forest,2017-18,2025-26,20-28,541,466,0,7.6,13.9,6.3,10.3,1.3,3.6,3.0,3.8,2.7,7.0,9.6,1.8,0.8,1.2,1.9,3.7,19.6,.546,.609,.369,.789,.627,.595,F,ATLLACUTA,collijo01
157,JaVale McGee,43.7,WAS,1,18,2008,Nevada,2008-09,2023-24,21-36,909,343,0,7.2,12.5,7.2,12.3,0.0,0.2,2.4,4.0,4.0,7.2,11.2,0.9,0.8,3.1,2.2,4.7,16.9,.578,.584,.192,.604,.593,.580,C,CLEDALDENGSWLALPHIPHOSACWAS,mcgeeja01
158,P.J. Tucker,43.3,TOR,2,35,2006,Texas,2006-07,2024-25,21-39,886,667,0,3.1,7.2,1.8,3.8,1.3,3.5,1.0,1.4,1.9,5.0,6.9,1.8,1.4,0.4,1.2,3.1,8.4,.425,.479,.366,.750,.539,.512,F,HOULACMIAMILNYKPHIPHOTOR,tuckepj01
159,Ed Davis,43.3,TOR,1,13,2010,North Carolina,2010-11,2021-22,21-32,722,106,0,4.6,8.2,4.6,8.2,0.0,0.0,1.9,3.3,4.2,7.9,12.1,1.4,0.9,1.5,1.4,4.6,11.2,.567,.568,.000,.583,.581,.567,F,BRKCLELALMEMMINPORTORUTA,davised01
160,Jae Crowder,43.0,CLE,2,34,2012,Marquette,2012-13,2024-25,22-34,812,436,0,4.6,11.1,2.4,4.7,2.2,6.3,2.0,2.5,1.0,5.1,6.1,2.3,1.4,0.5,1.2,2.9,13.4,.418,.513,.347,.777,.551,.518,F,BOSCLEDALMEMMIAMILPHOSACUTA,crowdja01
161,Jared Dudley,43.0,CHA,1,22,2007,Boston College,2007-08,2020-21,22-35,904,286,0,4.3,9.3,2.7,5.3,1.6,4.0,1.7,2.3,1.4,3.7,5.1,2.5,1.3,0.3,1.4,2.9,11.9,.463,.517,.393,.732,.576,.548,F-G,BRKCHALACLALMILPHOWAS,dudleja01
162,Montrezl Harrell,42.9,HOU,2,32,2015,Louisville,2015-16,2022-23,22-29,515,36,0,8.6,13.8,8.5,13.5,0.0,0.3,4.1,6.2,3.2,5.7,8.8,2.3,0.9,1.4,1.9,3.6,21.2,.619,.629,.108,.664,.642,.620,F-C,CHOHOULACLALPHIWAS,harremo01
163,Brandon Bass,42.8,NOH,2,33,2005,Louisiana State,2005-06,2016-17,20-31,758,283,0,5.6,11.2,5.6,11.1,0.0,0.1,3.2,3.8,2.5,5.1,7.6,1.3,0.6,1.1,1.6,3.0,14.4,.499,.502,.207,.832,.558,.500,F,BOSDALLACLALNOKORL,bassbr01
164,Matt Barnes,42.8,MEM,2,46,2002,UCLA,2003-04,2016-17,23-36,929,359,0,4.6,10.5,3.0,5.7,1.6,4.8,1.7,2.3,1.7,5.3,7.0,2.8,1.2,0.7,1.9,3.9,12.4,.436,.522,.335,.745,.542,.513,F,GSWLACLALMEMNYKORLPHIPHOSAC,barnema02
165,Josh Hart,42.8,UTA,1,30,2017,Villanova,2017-18,2025-26,22-30,596,341,0,4.6,9.6,3.1,5.4,1.5,4.3,1.8,2.4,1.5,6.8,8.3,4.0,1.3,0.4,1.7,2.8,12.4,.475,.575,.350,.750,.583,.553,F-G,LALNOPNYKPOR,hartjo01
166,Ricky Rubio,42.3,MIN,1,5,2009,,2011-12,2022-23,21-32,698,603,0,4.3,11.1,3.2,7.6,1.1,3.4,3.5,4.1,0.7,4.2,4.9,9.0,2.1,0.2,3.1,3.0,13.2,.388,.417,.324,.843,.511,.438,G,CLEMINPHOUTA,rubiori01
167,Eric Gordon,42.1,LAC,1,7,2008,Indiana,2008-09,2025-26,20-37,931,665,0,6.0,14.0,3.4,7.0,2.6,7.0,3.0,3.7,0.4,2.2,2.6,3.1,1.0,0.4,2.1,2.0,17.6,.430,.488,.373,.809,.565,.523,G-F,HOULACNOHNOPPHIPHO,gordoer01
168,Ty Lawson,42.1,MIN,1,18,2009,North Carolina,2009-10,2016-17,22-29,551,344,0,5.6,12.1,4.5,9.2,1.1,3.0,3.4,4.4,0.8,2.6,3.4,7.4,1.4,0.1,2.6,2.0,15.6,.460,.493,.359,.770,.555,.504,G,DENHOUINDSAC,lawsoty01
169,Monta Ellis,41.9,GSW,2,40,2005,,2005-06,2016-17,20-31,833,713,0,7.1,15.7,6.2,12.8,0.9,2.9,3.3,4.3,0.6,2.9,3.6,4.8,1.7,0.3,2.8,2.4,18.4,.451,.482,.314,.772,.523,.480,G,DALGSWINDMIL,ellismo01
